郵遞區號,電腦局號,郵務局號,局名,電腦局名,縣市,鄉鎮市區,地址,完整地址,緯度,經度
50543,008129-9,500029,鹿港頂番郵局,彰化29支,彰化縣,鹿港鎮,鹿和路四段147號,彰化縣鹿港鎮鹿和路四段147號,24.088042,120.482641
50544,008130-1,500030,鹿港彰濱郵局,彰化30支,彰化縣,鹿港鎮,鹿草路一段449號,彰化縣鹿港鎮鹿草路一段449號,24.065519,120.436023
50662,008131-4,500031,福興福工郵局,彰化31支,彰化縣,福興鄉,福工路1號,彰化縣福興鄉福工路1號,24.01174,120.487029
50541,008132-8,500032,鹿港草港郵局,彰化32支,彰化縣,鹿港鎮,頂草路四段406號,彰化縣鹿港鎮頂草路四段406號,24.108131,120.459394
52148,008133-1,500033,北斗郵局,彰化33支,彰化縣,北斗鎮,光復路226號,彰化縣北斗鎮光復路226號,23.87489,120.52429
52341,008134-5,500034,埤頭郵局,彰化34支,彰化縣,埤頭鄉,斗苑西路187號,彰化縣埤頭鄉斗苑西路187號,23.891342,120.460862
52241,008135-9,500035,田尾郵局,彰化35支,彰化縣,田尾鄉,光復路三段26號,彰化縣田尾鄉光復路三段26號,23.892398,120.52889
52342,008136-2,500036,埤頭路口厝郵局,彰化36支,彰化縣,埤頭鄉,溪林路273號,彰化縣埤頭鄉溪林路273號,23.846839,120.460647
52446,008137-6,500037,溪州郵局,彰化37支,彰化縣,溪州鄉,中央路三段321號,彰化縣溪州鄉中央路三段321號,23.851283,120.494745
52662,008138-0,500038,二林郵局,彰化38支,彰化縣,二林鎮,仁愛路707號,彰化縣二林鎮仁愛路707號,23.900791,120.364756
52773,008139-3,500039,大城郵局,彰化39支,彰化縣,大城鄉,北平路35號,彰化縣大城鄉北平路35號,23.856001,120.321688
52864,008140-5,500040,芳苑郵局,彰化40支,彰化縣,芳苑鄉,斗苑路芳苑段231號,彰化縣芳苑鄉斗苑路芳苑段231號,23.9247,120.31905
52541,008141-9,500041,竹塘郵局,彰化41支,彰化縣,竹塘鄉,竹林路一段366號,彰化縣竹塘鄉竹林路一段366號,23.86096,120.426964
52657,008142-2,500042,二林萬興郵局,彰化42支,彰化縣,二林鎮,二溪路六段290號,彰化縣二林鎮二溪路六段290號,23.954484,120.422885
52860,008143-6,500043,芳苑王功郵局,彰化43支,彰化縣,芳苑鄉,芳漢路王功段300、302號,彰化縣芳苑鄉芳漢路王功段300、302號,23.960818,120.337494
52858,008144-0,500044,芳苑草湖郵局,彰化44支,彰化縣,芳苑鄉,建平村二溪路草二段462號,彰化縣芳苑鄉建平村二溪路草二段462號,23.958081,120.382849
51044,008145-3,500045,員林郵局,彰化45支,彰化縣,員林市,員東路二段490號,彰化縣員林市員東路二段490號,23.957667,120.577349
51547,008146-7,500046,大村郵局,彰化46支,彰化縣,大村鄉,大溪路2號,彰化縣大村鄉大溪路2號,23.993927,120.544693
51347,008147-1,500047,埔心郵局,彰化47支,彰化縣,埔心鄉,忠義北路70號,彰化縣埔心鄉忠義北路70號,23.954156,120.54319
51061,008148-4,500048,員林員水路郵局,彰化48支,彰化縣,員林市,員水路一段338號,彰化縣員林市員水路一段338號,23.951286,120.597155
51050,008149-8,500049,員林三橋郵局,彰化49支,彰化縣,員林市,大同路二段137號,彰化縣員林市大同路二段137號,23.968903,120.575786
51048,008150-0,500050,員林西門郵局,彰化50支,彰化縣,員林市,新生路85號,彰化縣員林市新生路85號,23.95831,120.5686
51247,008151-3,500051,永靖郵局,彰化51支,彰化縣,永靖鄉,永靖街27號,彰化縣永靖鄉永靖街27號,23.920383,120.546814
51045,008152-7,500052,員林南門郵局,彰化52支,彰化縣,員林市,中正路63、65號,彰化縣員林市中正路63、65號,23.950803,120.575761
51346,008153-1,500053,埔心太平郵局,彰化53支,彰化縣,埔心鄉,中山路66、68號,彰化縣埔心鄉中山路66、68號,23.938795,120.559248
51041,008154-4,500054,員林中正路郵局,彰化54支,彰化縣,員林市,中正路457號,彰化縣員林市中正路457號,23.9585,120.57221
51147,008155-8,500055,社頭郵局,彰化55支,彰化縣,社頭鄉,員集路二段195號,彰化縣社頭鄉員集路二段195號,23.898206,120.587738
51151,008156-1,500056,社頭湳雅郵局,彰化56支,彰化縣,社頭鄉,山腳路三段325號,彰化縣社頭鄉山腳路三段325號,23.919227,120.604638
53043,008157-5,500057,二水郵局,彰化57支,彰化縣,二水鄉,員集路三段741號,彰化縣二水鄉員集路三段741號,23.811275,120.615522
52048,008158-9,500058,田中郵局,彰化58支,彰化縣,田中鎮,員集路二段305號,彰化縣田中鎮員集路二段305號,23.856875,120.585877
52044,008159-2,500059,田中內灣郵局,彰化59支,彰化縣,田中鎮,中南路二段430號,彰化縣田中鎮中南路二段430號,23.852796,120.605291
52047,008160-4,500060,田中三潭郵局,彰化60支,彰化縣,田中鎮,員集路二段616號,彰化縣田中鎮員集路二段616號,23.863606,120.58552
50853,008161-8,500061,和美道周郵局,彰化61支,彰化縣,和美鎮,山犁里道周路458、460號,彰化縣和美鎮山犁里道周路458、460號,24.108985,120.494406
97054,009100-3,970000,花蓮國安郵局,花蓮901支,花蓮縣,花蓮市,中山路408號,花蓮縣花蓮市中山路408號,23.984169,121.604241
97048,009101-7,970001,花蓮舊車站郵局,花蓮1支,花蓮縣,花蓮市,中山路92號,花蓮縣花蓮市中山路92號,23.975538,121.610828
97043,009102-1,970002,花蓮南京街郵局,花蓮2支,花蓮縣,花蓮市,南京街221號,花蓮縣花蓮市南京街221號,23.9753598,121.607365
97145,009104-8,970004,新城北埔郵局,花蓮4支,花蓮縣,新城鄉,大漢村光復路578號,花蓮縣新城鄉大漢村光復路578號,24.0324148,121.6040972
97253,009105-1,970005,秀林天祥郵局,花蓮5支,花蓮縣,秀林鄉,富世村天祥21號,花蓮縣秀林鄉富世村天祥21號,24.1830688,121.492748
97161,009106-5,970006,新城郵局,花蓮6支,花蓮縣,新城鄉,新城村中山路45號,花蓮縣新城鄉新城村中山路45號,24.1262761,121.6507232
97060,009107-9,970007,花蓮府前路郵局,花蓮7支,花蓮縣,花蓮市,府前路146號,花蓮縣花蓮市府前路146號,23.9905166,121.6196084
97365,009108-2,970008,吉安郵局,花蓮8支,花蓮縣,吉安鄉,慶豐村吉安路二段280號,花蓮縣吉安鄉慶豐村吉安路二段280號,23.9784239,121.564483
97063,009109-6,970009,花蓮下美崙郵局,花蓮9支,花蓮縣,花蓮市,民權路132號,花蓮縣花蓮市民權路132號,23.9937569,121.628923
97352,009110-8,970010,吉安仁里郵局,花蓮10支,花蓮縣,吉安鄉,仁里村中正路一段48號,花蓮縣吉安鄉仁里村中正路一段48號,23.9674879,121.590615
97059,009111-1,970011,花蓮港務局郵局,花蓮11支,花蓮縣,花蓮市,民權路27號,花蓮縣花蓮市民權路27號,23.9833389,121.619465
97291,009112-5,970012,秀林和平郵局,花蓮12支,花蓮縣,秀林鄉,和平村113號,花蓮縣秀林鄉和平村113號,24.2946066,121.4576376
97044,009113-9,970013,花蓮中華路郵局,花蓮13支,花蓮縣,花蓮市,中華路335-5號,花蓮縣花蓮市中華路335-5號,23.9747451,121.5948051
97068,009114-2,970014,花蓮富國路郵局,花蓮14支,花蓮縣,花蓮市,富國路52號,花蓮縣花蓮市富國路52號,23.9909145,121.5934609
97445,009115-6,970015,壽豐郵局,花蓮15支,花蓮縣,壽豐鄉,壽豐村中山路六段57號,花蓮縣壽豐鄉壽豐村中山路六段57號,23.8715054,121.5081741
97446,009116-0,970016,壽豐豐田郵局,花蓮16支,花蓮縣,壽豐鄉,豐山村中山路127巷16弄5號,花蓮縣壽豐鄉豐山村中山路127巷16弄5號,23.9058579,121.4919562
97441,009117-3,970017,壽豐志學郵局,花蓮17支,花蓮縣,壽豐鄉,志學村中山路二段202號,花蓮縣壽豐鄉志學村中山路二段202號,23.895711,121.527699
97342,009118-7,970018,吉安宜昌郵局,花蓮18支,花蓮縣,吉安鄉,中華路二段83號,花蓮縣吉安鄉中華路二段83號,23.9737598,121.5827421
97050,009119-1,970019,花蓮中山路郵局,花蓮19支,花蓮縣,花蓮市,中山路188號,花蓮縣花蓮市中山路188號,23.9783691,121.6062504
97064,009120-2,970020,花蓮師院郵局,花蓮20支,花蓮縣,花蓮市,華西路123號,花蓮縣花蓮市華西路123號,24.0102801,121.6158239
97368,009121-6,970021,吉安太昌郵局,花蓮21支,花蓮縣,吉安鄉,永安村吉安路一段35號,花蓮縣吉安鄉永安村吉安路一段35號,23.9916763,121.5730915
97545,009122-0,970022,鳳林郵局,花蓮22支,花蓮縣,鳳林鎮,光復路14號,花蓮縣鳳林鎮光復路14號,23.746051,121.447442
97543,009123-3,970023,鳳林萬榮郵局,花蓮23支,花蓮縣,鳳林鎮,長橋路133號,花蓮縣鳳林鎮長橋路133號,23.7130414,121.4186683
97542,009124-7,970024,鳳林林榮郵局,花蓮24支,花蓮縣,鳳林鎮,林榮路165號,花蓮縣鳳林鎮林榮路165號,23.8035431,121.4498689
97645,009125-1,970025,光復郵局,花蓮25支,花蓮縣,光復鄉,中正路一段124號,花蓮縣光復鄉中正路一段124號,23.6653316,121.4225043
97791,009127-8,970027,豐濱郵局,花蓮27支,花蓮縣,豐濱鄉,光豐路48號,花蓮縣豐濱鄉光豐路48號,23.601829,121.518307
97643,009128-1,970028,光復富田郵局,花蓮28支,花蓮縣,光復鄉,富田一街36號之1,花蓮縣光復鄉富田一街36號之1,23.6596132,121.4465216
97841,009129-5,970029,瑞穗郵局,花蓮29支,花蓮縣,瑞穗鄉,中山路一段120號,花蓮縣瑞穗鄉中山路一段120號,23.4968813,121.377605
97843,009130-7,970030,瑞穗富源郵局,花蓮30支,花蓮縣,瑞穗鄉,富源村中正路88號,花蓮縣瑞穗鄉富源村中正路88號,23.5788449,121.375961
98142,009131-1,970031,玉里郵局,花蓮31支,花蓮縣,玉里鎮,光復路111號,花蓮縣玉里鎮光復路111號,23.3310639,121.311727
98142,009132-4,970032,玉里泰昌郵局,花蓮32支,花蓮縣,玉里鎮,中山路二段139號,花蓮縣玉里鎮中山路二段139號,23.3357583,121.3117916
